Wed Feb  1 00:18:32 2023,average_velocity_U,average_velocity_V,average_velocity_W,U_variance_Prime,V_variance_Prime,W_variance_Prime,U_stdev_Prime,V_stdev_Prime,W_stdev_Prime,Skewness_U_Prime,Skewness_V_Prime,Skewness_W_Prime,Kurtosis_U_Prime,Kurtosis_V_Prime,Kurtosis_W_Prime,Reynolds_stress_u'v',Reynolds_stress_u'w',Reynolds_stress_v'w',Anisotropy,M30,M03,M12,M21,fku_2d,Fku_2d,fkw_2d,Fkw_2d,fku_3d,Fku_3d,fkw_3d,Fkw_3d,TKE_3d,Q1_K_Value,Q2_K_Value,Q3_K_Value,Q4_K_Value,e,ED,Octant_plus_1,Octant_minus_1,Octant_plus_2,Octant_minus_2,Octant_plus_3,Octant_minus_3,Octant_plus_4,Octant_minus_4,Total_Octant_sample,Probability_Octant_plus_1,Probability_Octant_minus_1,Probability_Octant_plus_2,Probability_Octant_minus_2,Probability_Octant_plus_3,Probability_Octant_minus_3,Probability_Octant_plus_4,Probability_Octant_minus_4,Min_Octant_Count,Min_Octant_Count_id,Max_Octant_Count,Max_Octant_Count_id,K,TI
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R1_2023-02-01_00-16-16.csv,38.01696183,-1.61568795,-1.40786764,64.645041,10.54804805,6.40161066,8.04034802,3.24783,2.53018262,-2.37549293,-0.19993775,1.27370544,44.53421239,14.25324949,14.82262686,-1.10566239,-13.6901693,0.05035946,0.31468571,-2.37525535,1.27357804,-1.50869552,1.85010621,-984.21097267,-55.99743814,242.43716812,13.79364862,-658.89170416,-55.99743814,163.28566715,9.29026327,2182.56193333,34,122,35,39,0,0,2712,4874,4200,3180,3801,2556,3233,5439,29995,0.09041507,0.16249375,0.14002334,0.10601767,0.12672112,0.0852142,0.10778463,0.18133022,2556,-3,5439,-4,40.79734985500001,5.21519254
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R1_2023-02-01_00-16-16.csv,38.01696183,-1.61568795,-1.40786764,64.645041,10.54804805,6.40161066,8.04034802,3.24783,2.53018262,-2.37549293,-0.19993775,1.27370544,44.53421239,14.25324949,14.82262686,-1.10566239,-13.6901693,0.05035946,0.31468571,-2.37525535,1.27357804,-1.50869552,1.85010621,-984.21097267,-55.99743814,242.43716812,13.79364862,-658.89170416,-55.99743814,163.28566715,9.29026327,2182.56193333,34,122,35,39,0,0,2712,4874,4200,3180,3801,2556,3233,5439,29995,0.09041507,0.16249375,0.14002334,0.10601767,0.12672112,0.0852142,0.10778463,0.18133022,2556,-3,5439,-4,40.79734985500001,5.21519254
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R1_2023-02-01_00-16-16.csv,38.01696183,-1.61568795,-1.40786764,64.645041,10.54804805,6.40161066,8.04034802,3.24783,2.53018262,-2.37549293,-0.19993775,1.27370544,44.53421239,14.25324949,14.82262686,-1.10566239,-13.6901693,0.05035946,0.31468571,-2.37525535,1.27357804,-1.50869552,1.85010621,-984.21097267,-55.99743814,242.43716812,13.79364862,-658.89170416,-55.99743814,163.28566715,9.29026327,2182.56193333,34,122,35,39,0,0,2712,4874,4200,3180,3801,2556,3233,5439,29995,0.09041507,0.16249375,0.14002334,0.10601767,0.12672112,0.0852142,0.10778463,0.18133022,2556,-3,5439,-4,40.79734985500001,5.21519254
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R1_2023-02-01_00-52-32.csv,38.01696183,-1.61568795,-1.40786764,64.645041,10.54804805,6.40161066,8.04034802,3.24783,2.53018262,-2.37549293,-0.19993775,1.27370544,44.53421239,14.25324949,14.82262686,-1.10566239,-13.6901693,0.05035946,0.31468571,-2.37525535,1.27357804,-1.50869552,1.85010621,-984.21097267,-55.99743814,242.43716812,13.79364862,-658.89170416,-55.99743814,163.28566715,9.29026327,2182.56193333,34,122,35,39,0,0,2712,4874,4200,3180,3801,2556,3233,5439,29995,0.09041507,0.16249375,0.14002334,0.10601767,0.12672112,0.0852142,0.10778463,0.18133022,2556,-3,5439,-4,40.79734985500001,5.21519254
2.9_cm20140611204525_Full_Raw_file_Orig_v_threshold_1.5_R5_2023-02-01_18-14-13.csv,37.15093406,-1.66732872,-1.20147475,61.44954146,7.84019138,5.78085569,7.83910647,2.80008085,2.40438109,-3.05931065,-0.93340429,1.90410803,18.44790467,16.95765457,8.75337904,-0.64944495,-13.74726794,-0.01382913,0.30671622,-3.05900468,1.9039176,-2.17808766,2.54718566,-1179.23090009,-67.09324648,302.1139385,17.18900424,-789.90131774,-67.09324648,202.44273623,11.51813474,1392.53924312,10,61,10,21,0,0,2444,6090,4022,2519,3449,2068,3093,6310,29995,0.08148025,0.20303384,0.13408901,0.08398066,0.11498583,0.06894482,0.10311719,0.21036839,2068,-3,6310,-4,37.535294265,5.0023524
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R1_2023-02-01_18-14-36.csv,38.01696183,-1.61568795,-1.40786764,64.645041,10.54804805,6.40161066,8.04034802,3.24783,2.53018262,-2.37549293,-0.19993775,1.27370544,44.53421239,14.25324949,14.82262686,-1.10566239,-13.6901693,0.05035946,0.31468571,-2.37525535,1.27357804,-1.50869552,1.85010621,-984.21097267,-55.99743814,242.43716812,13.79364862,-658.89170416,-55.99743814,163.28566715,9.29026327,2182.56193333,34,122,35,39,0,0,2712,4874,4200,3180,3801,2556,3233,5439,29995,0.09041507,0.16249375,0.14002334,0.10601767,0.12672112,0.0852142,0.10778463,0.18133022,2556,-3,5439,-4,40.79734985500001,5.21519254
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R2_2023-02-01_18-14-43.csv,37.99757693,-1.60169095,-1.41274112,154.13429997,18.6386673,12.23857586,12.41529052,4.31732425,3.49842592,0.667493,-0.30159185,0.63655693,164.09056381,36.24994966,77.29932424,0.26200111,-32.71431482,-0.18579011,0.28178365,0.66742624,0.63649326,-0.57019199,-0.06291415,892.9524157,50.80521255,-5.00499278,-0.2847629,577.32982902,50.80521255,5.97608801,0.34001411,17579.8448964,24,490,179,542,0,0,2773,4799,4174,3137,3822,2660,3238,5392,29995,0.09244874,0.15999333,0.13915653,0.1045841,0.12742124,0.08868145,0.10795133,0.17976329,2660,-3,5392,-4,92.505771565,7.85305765
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R3_2023-02-01_18-14-50.csv,38.02335869,-1.62508041,-1.38809587,51.49434871,8.68321728,5.18248194,7.17607591,2.94677905,2.27654447,-2.5232412,-0.03904871,1.36205292,55.31364295,17.94840664,18.5027253,-0.8916136,-10.89330766,0.03893924,0.31724086,-2.52298884,1.3619167,-1.5937302,2.00030127,-743.7128197,-42.31411127,187.9275892,10.69228432,-497.78112422,-42.31411127,126.47929371,7.19613642,1158.63872515,42,152,44,49,0,0,2278,4109,8171,2691,3226,2174,2752,4594,29995,0.07594599,0.1369895,0.27241207,0.08971495,0.10755126,0.07247875,0.09174862,0.15315886,2174,-3,8171,2,32.680023965,4.66762066
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R4_2023-02-01_18-14-56.csv,37.82736589,-1.60942524,-1.34776896,78.72038022,11.00299408,7.2200459,8.87259853,3.31713143,2.6870591,-2.47734037,0.21723736,1.46541822,39.34466949,17.80218166,15.49083069,-1.08473558,-16.8825239,0.02132156,0.30284917,-2.4770926,1.46527166,-1.68232305,2.02666939,-1378.47592164,-78.42944479,342.85231983,19.50684569,-922.05993394,-78.42944479,230.29604567,13.10287015,3126.85703627,29,104,30,35,0,0,2678,4986,4149,3067,3779,2539,3272,5525,29995,0.08928155,0.1662277,0.13832305,0.10225038,0.12598766,0.08464744,0.10908485,0.18419737,2539,-3,5525,-4,48.471710099999996,5.68458208
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R5_2023-02-01_18-15-05.csv,37.955785,-1.61207878,-1.36371789,59.87391979,10.0777087,6.01072453,7.73795296,3.17459363,2.45171877,-2.24696939,-0.07067197,1.20390156,42.11284635,13.53690319,13.7577538,-1.15175168,-12.61475943,0.05248928,0.31684333,-2.24674466,1.20378115,-1.41045971,1.77006428,-829.9190268,-47.21887954,208.18780603,11.84500489,-555.68564059,-47.21887954,140.21373206,7.97756782,1813.4113145,36,131,38,42,0,0,2674,4941,4259,3097,3813,2513,3245,5453,29995,0.08914819,0.16472745,0.14199033,0.10325054,0.12712119,0.08378063,0.1081847,0.18179697,2513,-3,5453,-4,37.981176510000004,5.03197619
2.9_cm20140611204525_Full_Raw_file_Orig_avg_CORR_70_R1_2023-02-01_18-15-22.csv,37.86003834,-1.61094182,-1.35734822,76.8101624,10.87252218,7.12980448,8.76428681,3.29740575,2.67021388,-2.4371123,0.05876735,1.44709383,39.86729852,15.58845067,15.45330494,-1.11591412,-16.49701729,0.04191952,0.30466984,-2.43686855,1.4469491,-1.65762621,2.00841052,-1308.07936679,-74.42417881,329.61445157,18.75366702,-874.72227983,-74.42417881,221.35164062,12.59397136,2977.12185148,29,106,31,35,0,0,2681,4944,4193,3111,3769,2552,3254,5491,29995,0.08938156,0.16482747,0.13978996,0.10371729,0.12565428,0.08508085,0.10848475,0.18306384,2552,-3,5491,-4,47.40624453,5.621758
2.9_cm20140611204525_Full_Raw_file_Orig_avg_CORR_70_R2_2023-02-01_18-16-13.csv,37.85208868,-1.6129715,-1.35600633,82.26493448,11.29576985,7.50366552,9.0701531,3.36097403,2.7393276,-2.70997655,-0.06718284,1.60150285,50.5361027,16.61444777,21.53597597,-1.16012556,-17.82187866,0.08328887,0.30201559,-2.70970551,1.60134267,-1.85231911,2.24185039,-1611.00085195,-91.65912904,403.60190917,22.96324017,-1075.79250088,-91.65912904,270.65722777,15.39925056,3486.37470926,28,347,29,146,0,0,2683,4968,4189,3090,3762,2548,3256,5499,29995,0.08944824,0.1656276,0.13965661,0.10301717,0.1254209,0.08494749,0.10855143,0.18333056,2548,-3,5499,-4,50.532184924999996,5.80414708
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R1_2023-02-01_18-16-35.csv,38.01696183,-1.61568795,-1.40786764,64.645041,10.54804805,6.40161066,8.04034802,3.24783,2.53018262,-2.37549293,-0.19993775,1.27370544,44.53421239,14.25324949,14.82262686,-1.10566239,-13.6901693,0.05035946,0.31468571,-2.37525535,1.27357804,-1.50869552,1.85010621,-984.21097267,-55.99743814,242.43716812,13.79364862,-658.89170416,-55.99743814,163.28566715,9.29026327,2182.56193333,34,122,35,39,0,0,2712,4874,4200,3180,3801,2556,3233,5439,29995,0.09041507,0.16249375,0.14002334,0.10601767,0.12672112,0.0852142,0.10778463,0.18133022,2556,-3,5439,-4,40.79734985500001,5.21519254
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R2_2023-02-01_18-16-41.csv,37.99757693,-1.60169095,-1.41274112,154.13429997,18.6386673,12.23857586,12.41529052,4.31732425,3.49842592,0.667493,-0.30159185,0.63655693,164.09056381,36.24994966,77.29932424,0.26200111,-32.71431482,-0.18579011,0.28178365,0.66742624,0.63649326,-0.57019199,-0.06291415,892.9524157,50.80521255,-5.00499278,-0.2847629,577.32982902,50.80521255,5.97608801,0.34001411,17579.8448964,24,490,179,542,0,0,2773,4799,4174,3137,3822,2660,3238,5392,29995,0.09244874,0.15999333,0.13915653,0.1045841,0.12742124,0.08868145,0.10795133,0.17976329,2660,-3,5392,-4,92.505771565,7.85305765
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R3_2023-02-01_18-16-46.csv,38.02335869,-1.62508041,-1.38809587,51.49434871,8.68321728,5.18248194,7.17607591,2.94677905,2.27654447,-2.5232412,-0.03904871,1.36205292,55.31364295,17.94840664,18.5027253,-0.8916136,-10.89330766,0.03893924,0.31724086,-2.52298884,1.3619167,-1.5937302,2.00030127,-743.7128197,-42.31411127,187.9275892,10.69228432,-497.78112422,-42.31411127,126.47929371,7.19613642,1158.63872515,42,152,44,49,0,0,2278,4109,8171,2691,3226,2174,2752,4594,29995,0.07594599,0.1369895,0.27241207,0.08971495,0.10755126,0.07247875,0.09174862,0.15315886,2174,-3,8171,2,32.680023965,4.66762066
2.9_cm20140611204525_Full_Raw_file_Orig_min_CORR_70_R4_2023-02-01_18-16-51.csv,37.82736589,-1.60942524,-1.34776896,78.72038022,11.00299408,7.2200459,8.87259853,3.31713143,2.6870591,-2.47734037,0.21723736,1.46541822,39.34466949,17.80218166,15.49083069,-1.08473558,-16.8825239,0.02132156,0.30284917,-2.4770926,1.46527166,-1.68232305,2.02666939,-1378.47592164,-78.42944479,342.85231983,19.50684569,-922.05993394,-78.42944479,230.29604567,13.10287015,3126.85703627,29,104,30,35,0,0,2678,4986,4149,3067,3779,2539,3272,5525,29995,0.08928155,0.1662277,0.13832305,0.10225038,0.12598766,0.08464744,0.10908485,0.18419737,2539,-3,5525,-4,48.471710099999996,5.68458208
